Anther.Color,Anther.length,Anther.width,Calyx.length,Calyx.sinus,Calyx.tooth,Corolla.length,Filament.Color,Floral buds,Free.filament,ID,Internode,Lobe.length,Lobe.width,Main flower,Major.length.diameter,Midrib,Ovary,Pedicel.length,Petal.Color,Solitary Flowers,Stamen.length,Stigma.length,Style.length,Throat,Tube.length,Tube.width
1,0.793,0.678,2.467,1.37,1.073,9.32,7,53,2.672,cap-cw1,0.1,5.666,1.58,64,16,0.275,0.986486486,0.5,7,35,8.493,,,2.415,3.43,2.85
8,0.884,0.842,3.218,1.87,1.306,9.9,7,50,2.638,cap-cw2,0.2,6.292,2.016,60,17.2,0.346,1.014492754,1,7,29,7.806,0.61,6.6,1.858,3.58,3.35
,0.832,0.77,2.806,1.388,1.444,9.52,,,2.642,cap-cw3,,5.918,1.733,,15.4,0.378,0.772727273,,,,8.288,0.55,5.67,2.413,3.41,2.89
9,0.875,0.823,3.314,1.705,1.54,8.79,8,53,2.728,cap-cw4,0.5,5.823,1.74,60,15.8,0.39,1.04,1,7,34,7.956,0.535,6.03,2.348,2.96,3.23
,0.948,0.926,3.208,1.8,1.45,10,,53,3.192,cap-cw5,0.5,6.048,1.794,66,16.2,0.422,0.855555556,1,,29,9.368,0.665,6.36,2.305,3.83,3.02
,0.742,0.698,2.394,1.408,0.976,9.04,,63,2.472,cap-jd1,0.3,6.03,2.158,77,17,0.382,0.855555556,0.7,,19,7.004,0.675,6.43,2.025,2.8,3.22
9,0.828,0.712,3.2,1.508,1.64,9.44,7,50,2.684,cap-jd2,0.5,6.222,2.362,63,13.5,0.44,0.886363636,0.2,7,31,7.614,0.585,7.15,2.11,2.86,3.78
8,0.892,0.828,3.86,1.955,1.856,9.98,8,50,3.686,cap-jd3,0.1,6.155,1.953,60,16,0.54,0.911764706,0.2,7,38,9.314,0.605,,2.188,3.66,2.94
,0.758,0.728,2.538,1.748,0.822,9.04,,70,2.668,cap-jd4,,5.96,1.734,88,15.2,0.353,0.875,,,,7.758,0.605,7.76,2.175,2.96,3.81
,0.81,0.744,2.916,1.66,1.244,9.44,,53,2.91,cap-jd5,0.5,5.98,1.796,68,13.5,0.506,0.988235294,1,,37,8.412,0.69,7.67,2.1,3.55,4.13
9,,,,,,,7,53,,1,0.2,,,68,16.5,,,1,7,61,,,,,,
,,,,,,,,57,,2,0.2,,,68,19,,,0.8,,34,,,,,,
,,,,,,,,50,,3,0.2,,,60,21.6,,,0.4,,21,,,,,,
,,,,,,,,70,,4,0.5,,,88,15.5,,,1.2,,23,,,,,,
,,,,,,,,,,5,,,,,14.5,,,,,,,,,,,
,,,,,,,,66,,6,,,,,15.2,,,,,,,,,,,
,,,,,,,,50,,7,0.1,,,57,17.7,,,0.2,,29,,,,,,
,,,,,,,,53,,8,0.1,,,64,16,,,1,,46,,,,,,
,,,,,,,,57,,9,,,,75,21.7,,,,,,,,,,,
,,,,,,,,63,,10,0.6,,,77,12,,,0.6,,73,,,,,,
,,,,,,,,66,,11,0.7,,,88,15.9,,,1.2,,32,,,,,,
,,,,,,,,53,,12,,,,66,16.2,,,,,,,,,,,
