Anther.Color,Anther.length,Anther.width,Calyx.length,Calyx.sinus,Calyx.tooth,Corolla.length,Filament.Color,Floral buds,Free.filament,ID,Internode,Lobe.length,Lobe.width,Main flower,Major.length.diameter,Midrib,Ovary,Pedicel.length,Petal.Color,Solitary Flowers,Stamen.length,Stigma.length,Style.length,Throat,Tube.length,Tube.width
,0.722,0.586,4.17,1.99,2.15,8.97,,70,1.29,1,2.5,5.64,2.008,84,21.2,0.544,0.757894737,2,,9,6.486,0.705,6.15,1.97,3.33,2.98
,0.812,0.642,4.11,2.15,1.914,9.56,,60,1.894,2,1,5.863,1.97,70,20.8,0.416,0.755813953,1.5,,8,7.526,1.105,6.35,2.036,3.74,2.83
,0.736,0.602,3.643,1.95,1.71,9.2,,,1.728,4,,6.058,1.914,,16,0.385,0.867647059,,,,6.95,0.78,6.43,2.203,3.14,3.04
,0.896,0.764,3.776,1.843,1.862,9.13,,63,1.402,5,0.4,5.94,1.918,75,21.6,0.376,0.674418605,1,,7,6.742,0.885,6.29,2.098,3.37,2.42
,0.772,0.602,3.692,1.848,1.842,9.33,,63,1.598,6,1,5.586,2.078,79,22.2,0.432,0.823529412,1.5,,8,7.2,0.88,5.98,1.938,3.75,3.23
,0.78,0.582,3.498,1.778,1.696,8.98,,63,1.39,7,1,5.436,1.978,75,19.9,0.37,0.743902439,1.5,,8,7.014,0.745,5.9,2.25,3.42,2.44
,0.916,0.724,4.158,2.218,1.914,9.68,,58,1.584,8,1,6.394,1.842,68,21.4,0.436,0.788888889,2,,8,7.302,0.785,6.94,2.515,3.17,2.68
9,0.92,0.754,3.764,1.933,1.852,9.07,8,60,1.576,9,1,5.928,1.858,75,21.1,0.396,0.766666667,1,5,8,6.744,0.92,6.16,2.058,3.28,3.14
,0.924,0.708,3.97,1.97,1.922,10.34,,70,2.096,12,1,6.518,2.224,84,19,0.446,0.75,1,,10,8.124,0.94,7.51,2.27,3.82,3.14
9,0.804,0.674,4.03,2.128,1.872,9.05,8,57,1.612,13,1.5,5.49,2.172,68,28.7,0.474,0.688172043,2,5,9,6.962,0.805,6.17,1.805,3.57,3.01
10,0.908,0.726,3.024,1.41,1.538,9.01,8,57,0.958,jd1,0.3,5.75,1.798,66,21.2,0.36,0.679487179,1.3,5,4,6,0.52,6.65,2.175,3,2.87
,0.808,0.714,3.174,1.68,1.51,10.15,,66,1.596,jd2,1.1,6.334,2.026,79,26.5,0.35,0.792207792,1.2,,8,7.596,1.09,6.41,2.258,3.81,3.13
,0.788,0.662,3.462,1.763,1.684,8.59,,75,1.358,jd3,0.9,5.58,2.054,84,27.7,0.42,0.684931507,1.1,,9,6.38,1.03,6.37,2.06,3,3.07
9,0.966,0.832,3.87,1.963,1.862,9.07,8,57,1.668,jd4,0.7,5.754,2.216,70,22.2,0.412,0.873417722,1,5,9,6.894,0.91,6.22,2.088,3.28,3
10,0.798,0.666,3.096,1.495,1.598,9.15,8,50,1.45,jd5,1,5.91,1.91,63,24,0.393,0.80952381,1,5,7,6.904,0.72,6.28,2.135,3.34,2.58
9,0.68,0.576,3.5,1.795,1.678,8.41,8,57,1.624,jd6,2,5.462,1.868,66,18,0.426,0.810810811,2,5,10,6.58,0.72,6.09,2.105,2.91,2.74
,,,,,,,,79,,14,,,,92,15.4,,,,,,,,,,,
